Nazwa,Cena,Oferta od,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Kraj pochodzenia,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Tuning,Stan,VIN,Bezwypadkowy,Serwisowany w ASO,Leasing, Pierwszy właściciel (od nowości),Spalanie W Cyklu Mieszanym,Okres gwarancji producenta,lub do (przebieg km),Możliwość finansowania,Faktura VAT,Uszkodzony,VAT marża,Gwarancja dealerska (w cenie),Miesięczna rata,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Kierownica po prawej (Anglik),Zarejestrowany jako zabytek,Autonomia
BMW Seria 3 318i M Sport,236 400,Firma,,,BMW,Seria 3,318i M Sport,G20/G21 (2019-),2023,5 km,1 998 cm3,Benzyna,156 KM,Automatyczna,Na tylne koła,,,Sedan,,5,,Czarny,,Polska,,,,,Nowe,,Tak,,,,,,,,Tak,,,,,,,,,,
BMW Seria 3 318i,150 900,Firma,Tak,,BMW,Seria 3,318i,G20/G21 (2019-),2022,27 500 km,1 998 cm3,Benzyna,156 KM,Automatyczna,Na tylne koła,,,Sedan,,4,,Czarny,,Polska,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
BMW Seria 3,28 900,Prywatne,Tak,Tak,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2010,299 111 km,1 995 cm3,Diesel,183 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Czarny,Metalik,,,DW4MC90,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d Touring Sport Line,69 900,Firma,Tak,Tak,BMW,Seria 3,320d Touring Sport Line,F30/F31 (2012-2020),2018,196 519 km,1 995 cm3,Diesel,190 KM,Manualna,Na tylne koła,,5 l/100km,Kombi,151 g/km,5,5,Srebrny,Metalik,Niemcy,08 czerwiec 2018,- AutoPradła,,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,Tak,,,Tak,,,,,,,,
BMW Seria 3,23 499,Firma,Tak,Tak,BMW,Seria 3,,E46 (1998-2007),2003,208 108 km,2 171 cm3,Benzyna+LPG,170 KM,Automatyczna,Na tylne koła,,,Coupe,,2,5,Czarny,Metalik,Niemcy,13 luty 2003,SG 523AJ,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3,98 500,Firma,Tak,Tak,BMW,Seria 3,,G20/G21 (2019-),2019,139 000 km,1 995 cm3,Diesel,150 KM,Automatyczna,Na tylne koła,,,Sedan,,4,5,Czarny,Metalik,Polska,05 wrzesień 2019,WW 0086Y,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 320i GPF Sport Line Shadow,77 899,Firma,Tak,Tak,BMW,Seria 3,320i GPF Sport Line Shadow,F30/F31 (2012-2020),2019,182 500 km,1 998 cm3,Benzyna,184 KM,Automatyczna,Na tylne koła,5.0 l/100km,7 l/100km,Kombi,140 g/km,5,5,Czarny,Metalik,Polska,13 czerwiec 2019,WF2062T,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3,50 000,Prywatne,Tak,Tak,BMW,Seria 3,,F30/F31 (2012-2020),2015,130 000 km,1 598 cm3,Benzyna,136 KM,Automatyczna,,,,Sedan,,4,5,Biały,,,lipiec 2015,GA005EH,,,Używane,Wyświetl VIN,,,,,,,,,,Tak,,,,,,,,,
BMW Seria 3 320i xDrive,53 900,Prywatne,Tak,,BMW,Seria 3,320i xDrive,F30/F31 (2012-2020),2015,254 000 km,1 997 cm3,Benzyna,184 KM,Automatyczna,,,"8,60 l/100km",Sedan,,4,5,Złoty,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,227 500,Firma,Tak,,BMW,Seria 3,,G20/G21 (2019-),2023,5 km,1 998 cm3,Benzyna,184 KM,Automatyczna,4x4 (dołączany automatycznie),,,Sedan,,5,5,Biały,,,,,,,Nowe,Wyświetl VIN,Tak,,Tak,,,,,,,,,,3 660 PLN,,,,,,
BMW Seria 3,227 500,Firma,Tak,,BMW,Seria 3,,G20/G21 (2019-),2023,5 km,1 998 cm3,Benzyna,184 KM,Automatyczna,4x4 (dołączany automatycznie),,,Sedan,,5,5,Biały,,,,,,,Nowe,Wyświetl VIN,Tak,,Tak,,,,,,,,,,3 660 PLN,,,,,,
BMW Seria 3,45 999,Firma,Tak,,BMW,Seria 3,,F30/F31 (2012-2020),2012,240 000 km,2 000 cm3,Diesel,184 KM,Manualna,Na tylne koła,,,Kombi,,5,5,Biały,Perłowy,Niemcy,,,,,Używane,Wyświetl VIN,Tak,Tak,Tak,,,,,Tak,,,Tak,,,,,,,,
BMW Seria 3 320i,237 400,Firma,Tak,,BMW,Seria 3,320i,G20/G21 (2019-),2023,5 km,1 998 cm3,Benzyna,184 KM,Automatyczna,Na tylne koła,,,Sedan,,5,5,Czarny,,,,,,,Nowe,Wyświetl VIN,Tak,,Tak,,,,,,,,,,3 828 PLN,,,,,,
BMW Seria 3,237 400,Firma,Tak,,BMW,Seria 3,,G20/G21 (2019-),2023,5 km,1 998 cm3,Benzyna,184 KM,Automatyczna,Na tylne koła,,,Sedan,,5,5,Szary,,,,,,,Nowe,Wyświetl VIN,Tak,,Tak,,,,,,,,,,3 828 PLN,,,,,,
BMW Seria 3 330i xDrive,95 000,Firma,Tak,,BMW,Seria 3,330i xDrive,F30/F31 (2012-2020),2020,89 800 km,1 998 cm3,Benzyna,258 KM,Automatyczna,4x4 (stały),,,Sedan,,5,,Szary,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,Tak,,,,,,,,,
BMW Seria 3 320td,6 400,Prywatne,Tak,Tak,BMW,Seria 3,320td,E46 (1998-2007),2001,382 000 km,1 995 cm3,Diesel,150 KM,Manualna,Na tylne koła,4.0 l/100km,7 l/100km,Kompakt,,3,5,Srebrny,Metalik,,,,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d DPF Edition Fleet Sport,26 900,Prywatne,Tak,,BMW,Seria 3,320d DPF Edition Fleet Sport,E90/E91/E92/E93 (2005-2012),2007,360 000 km,1 995 cm3,Diesel,163 KM,Manualna,,,"5,90 l/100km",Sedan,,4,,Czarny,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 318i,21 700,Prywatne,Tak,Tak,BMW,Seria 3,318i,E90/E91/E92/E93 (2005-2012),2006,206 000 km,1 995 cm3,Benzyna,129 KM,Manualna,Na tylne koła,,10 l/100km,Sedan,,4,5,Inny kolor,Metalik,Niemcy,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 320d xDrive mHEV M Sport,239 900,Firma,Tak,Tak,BMW,Seria 3,320d xDrive mHEV M Sport,G20/G21 (2019-),2022,11 595 km,1 995 cm3,Diesel,190 KM,Automatyczna,4x4 (stały),,,Sedan,,4,5,Niebieski,Metalik,,16 grudzień 2022,WY 559XH,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 328i,79 000,Prywatne,Tak,Tak,BMW,Seria 3,328i,F30/F31 (2012-2020),2014,154 300 km,1 997 cm3,Benzyna,245 KM,Automatyczna,Na tylne koła,5.4 l/100km,"8,40 l/100km",Sedan,152 g/km,4,5,Niebieski,Metalik,Stany Zjednoczone,,,Tak,Tak,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
