Nazwa,Cena,Oferta od,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Kraj pochodzenia,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Tuning,Stan,VIN,Bezwypadkowy,Serwisowany w ASO,Leasing, Pierwszy właściciel (od nowości),Spalanie W Cyklu Mieszanym,Okres gwarancji producenta,lub do (przebieg km),Możliwość finansowania,Faktura VAT,Uszkodzony,VAT marża,Gwarancja dealerska (w cenie),Miesięczna rata,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Kierownica po prawej (Anglik),Zarejestrowany jako zabytek,Autonomia
BMW Seria 3,45 900,Prywatne,Tak,,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2006,272 000 km,1 995 cm3,Diesel,184 KM,Manualna,,,,Kombi,,5,,Szary,Metalik,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,209 900,Firma,Tak,Tak,BMW,Seria 3,,G20/G21 (2019-),2022,4 750 km,1 995 cm3,Diesel,150 KM,Automatyczna,Na tylne koła,,,Sedan,,4,5,Biały,,Polska,,PY14078,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,Tak,,,,,,,,,,
BMW Seria 3 318d DPF Touring,17 700,Prywatne,Tak,Tak,BMW,Seria 3,318d DPF Touring,E90/E91/E92/E93 (2005-2012),2010,241 000 km,1 995 cm3,Diesel,143 KM,Manualna,,,"5,40 l/100km",Kombi,,5,,Czarny,Metalik,,15 luty 2010,wer24254,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 320i xDrive Advantage,119 900,Firma,Tak,,BMW,Seria 3,320i xDrive Advantage,G20/G21 (2019-),2020,92 000 km,1 998 cm3,Benzyna,184 KM,Automatyczna,4x4 (stały),,,Sedan,,4,4,Biały,Metalik,Polska,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,19 Sierpnia 2025,100 000 km,Tak,Tak,,,,,,,,,,
BMW Seria 3 320d Sport Line,57 000,Prywatne,Tak,Tak,BMW,Seria 3,320d Sport Line,F30/F31 (2012-2020),2013,248 000 km,1 995 cm3,Diesel,184 KM,Manualna,Na tylne koła,3.0 l/100km,5 l/100km,Sedan,120 g/km,4,5,Czarny,Metalik,Niemcy,,,Tak,,Używane,Wyświetl VIN,,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 318d MHEV Sport Line,139 900,Firma,Tak,Tak,BMW,Seria 3,318d MHEV Sport Line,G20/G21 (2019-),2021,63 782 km,1 995 cm3,Diesel,150 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Szary,Metalik,Polska,22 październik 2021,WE4P492,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3,79 900,Prywatne,Tak,Tak,BMW,Seria 3,,F30/F31 (2012-2020),2014,136 284 km,1 997 cm3,Benzyna,245 KM,Automatyczna,,,,Sedan,,5,5,Biały,,,styczeń 2014,WOR 73967,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d Touring xDrive Sport-Aut Sport Line,52 000,Prywatne,Tak,Tak,BMW,Seria 3,320d Touring xDrive Sport-Aut Sport Line,F30/F31 (2012-2020),2013,219 050 km,1 995 cm3,Diesel,184 KM,Automatyczna,4x4 (stały),4.4 l/100km,"6,10 l/100km",Kombi,133 g/km,5,5,Czarny,Metalik,Niemcy,,,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 318d,69 900,Prywatne,Tak,Tak,BMW,Seria 3,318d,G20/G21 (2019-),2019,95 000 km,1 995 cm3,Diesel,150 KM,Manualna,Na tylne koła,,,Kombi,,5,,Czarny,,,16 grudzień 2019,1hmm333,,,Używane,Wyświetl VIN,,,,,,,,,,Tak,,,,,,,,,
BMW Seria 3,8 400,Prywatne,Tak,Tak,BMW,Seria 3,,E46 (1998-2007),2003,189 920 km,1 796 cm3,Benzyna,116 KM,Manualna,,,,Auta małe,,2,5,Niebieski,Metalik,Niemcy,29 styczeń 2003,A KS 1989,,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 320d xDrive M Sport,139 500,Prywatne,Tak,Tak,BMW,Seria 3,320d xDrive M Sport,G20/G21 (2019-),2020,49 077 km,1 995 cm3,Diesel,190 KM,Automatyczna,4x4 (stały),4.0 l/100km,5 l/100km,Kombi,109 g/km,5,5,Szary,,Niemcy,23 marzec 2020,WPI5070E,Tak,,Używane,Wyświetl VIN,,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 320d Luxury Line,149 000,Prywatne,Tak,Tak,BMW,Seria 3,320d Luxury Line,G20/G21 (2019-),2020,76 006 km,1 995 cm3,Diesel,190 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Biały,Perłowy,Niemcy,04 marzec 2020,PZL16117,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
BMW Seria 3,47 850,Prywatne,Tak,Tak,BMW,Seria 3,,F30/F31 (2012-2020),2012,220 000 km,1 995 cm3,Diesel,183 KM,Manualna,Na tylne koła,4.0 l/100km,5 l/100km,Sedan,124 g/km,5,5,Czarny,Metalik,,03 sierpień 2016,,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 318d DPF Touring,47 900,Prywatne,Tak,Tak,BMW,Seria 3,318d DPF Touring,F30/F31 (2012-2020),2014,299 900 km,1 995 cm3,Diesel,143 KM,Manualna,Na tylne koła,8.0 l/100km,14 l/100km,Kombi,,5,5,Czarny,Metalik,Włochy,,,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 328i Touring xDrive Sport Line,69 999,Prywatne,Tak,,BMW,Seria 3,328i Touring xDrive Sport Line,F30/F31 (2012-2020),2016,130 000 km,1 997 cm3,Benzyna,245 KM,Automatyczna,4x4 (dołączany automatycznie),,9 l/100km,Sedan,,5,5,Granatowy,Metalik,Stany Zjednoczone,,,Tak,Tak,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,99 900,Firma,Tak,,BMW,Seria 3,,F30/F31 (2012-2020),2017,69 998 km,1 998 cm3,Hybryda,186 KM,Automatyczna,Na tylne koła,,,Sedan,,5,5,Biały,,Stany Zjednoczone,styczeń 2017,,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,Tak,,,Tak,,,,,,,,
BMW Seria 3 318d Luxury Line Purity,67 700,Firma,Tak,,BMW,Seria 3,318d Luxury Line Purity,F30/F31 (2012-2020),2017,169 000 km,1 995 cm3,Diesel,150 KM,Manualna,Na tylne koła,,5 l/100km,Sedan,109 g/km,5,5,Biały,Perłowy,Niemcy,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,,,Tak,,,Tak,12 miesięcy,,,,,,,
BMW Seria 3 M340i xDrive mHEV sport,320 000,Firma,Tak,,BMW,Seria 3,M340i xDrive mHEV sport,G20/G21 (2019-),2023,5 km,2 998 cm3,Benzyna,374 KM,Automatyczna,4x4 (stały),,,Sedan,183 g/km,4,5,Niebieski,Metalik,Polska,,,,,Nowe,Wyświetl VIN,Tak,,Tak,,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 M340i xDrive mHEV sport,320 000,Firma,Tak,,BMW,Seria 3,M340i xDrive mHEV sport,G20/G21 (2019-),2023,5 km,2 998 cm3,Benzyna,374 KM,Automatyczna,4x4 (stały),,,Sedan,182 g/km,4,5,Czarny,Metalik,Polska,,,,,Nowe,Wyświetl VIN,Tak,,Tak,,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 M340i xDrive mHEV sport,320 000,Firma,Tak,,BMW,Seria 3,M340i xDrive mHEV sport,G20/G21 (2019-),2023,5 km,2 998 cm3,Benzyna,374 KM,Automatyczna,4x4 (stały),,,Sedan,183 g/km,4,5,Niebieski,Metalik,Polska,,,,,Nowe,Wyświetl VIN,Tak,,Tak,,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 M340i xDrive mHEV sport,320 000,Firma,Tak,,BMW,Seria 3,M340i xDrive mHEV sport,G20/G21 (2019-),2023,5 km,2 998 cm3,Benzyna,374 KM,Automatyczna,4x4 (stały),,,Sedan,182 g/km,4,5,Czarny,Metalik,Polska,,,,,Nowe,Wyświetl VIN,Tak,,Tak,,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 320i,223 400,Firma,Tak,,BMW,Seria 3,320i,G20/G21 (2019-),2023,5 km,1 998 cm3,Benzyna,184 KM,Automatyczna,Na tylne koła,,,Sedan,,4,5,Biały,,,,,,,Nowe,Wyświetl VIN,Tak,,Tak,,,,,,,,,,3 933 PLN,,,,,,
BMW Seria 3 320d Sport Line,65 000,Prywatne,Tak,Tak,BMW,Seria 3,320d Sport Line,F30/F31 (2012-2020),2012,266 000 km,1 995 cm3,Diesel,184 KM,Automatyczna,Na tylne koła,4.0 l/100km,"5,30 l/100km",Sedan,118 g/km,4,5,Granatowy,Metalik,Niemcy,28 czerwiec 2012,PZ1K951,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 318i,169 900,Firma,Tak,,BMW,Seria 3,318i,G20/G21 (2019-),2022,7 000 km,1 998 cm3,Benzyna,156 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Srebrny,Metalik,Polska,,,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 320d,15 999,Prywatne,Tak,Tak,BMW,Seria 3,320d,E90/E91/E92/E93 (2005-2012),2006,391 500 km,1 995 cm3,Diesel,163 KM,Manualna,Na tylne koła,,8 l/100km,Kombi,,5,,Szary,,Niemcy,,,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 318d Sport Line,104 900,Firma,Tak,Tak,BMW,Seria 3,318d Sport Line,G20/G21 (2019-),2020,200 000 km,1 995 cm3,Diesel,150 KM,Automatyczna,Na tylne koła,,,Sedan,,4,5,Czarny,,,28 grudzień 2020,SPORT LINE,,,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3,69 000,Prywatne,Tak,Tak,BMW,Seria 3,,F30/F31 (2012-2020),2013,144 685 km,1 998 cm3,Benzyna,245 KM,Automatyczna,4x4 (stały),,,Sedan,,4,5,Niebieski,Metalik,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 318i,17 900,Prywatne,Tak,Tak,BMW,Seria 3,318i,E90/E91/E92/E93 (2005-2012),2006,265 000 km,1 995 cm3,Benzyna,129 KM,Manualna,Na tylne koła,5.0 l/100km,10 l/100km,Kombi,182 g/km,5,5,Srebrny,Metalik,,06 listopad 2006,SGL19113,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 318i,27 800,Prywatne,Tak,Tak,BMW,Seria 3,318i,E90/E91/E92/E93 (2005-2012),2010,129 800 km,1 995 cm3,Benzyna,143 KM,Manualna,Na tylne koła,5.0 l/100km,8 l/100km,Sedan,146 g/km,4,5,Biały,Matowy,,19 sierpień 2010,EZD4X49,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d xDrive Sport Line,139 000,Prywatne,Tak,Tak,BMW,Seria 3,320d xDrive Sport Line,G20/G21 (2019-),2019,89 000 km,1 995 cm3,Diesel,190 KM,Automatyczna,4x4 (stały),,,Sedan,,5,,Czarny,,Polska,25 czerwiec 2019,KLI4399F,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
BMW Seria 3,7 900,Prywatne,Tak,,BMW,Seria 3,,E46 (1998-2007),2002,196 000 km,1 796 cm3,Benzyna+LPG,115 KM,Manualna,,,,Kompakt,,3,,Czarny,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 318i Advantage,165 900,Firma,Tak,,BMW,Seria 3,318i Advantage,G20/G21 (2019-),2022,18 700 km,1 998 cm3,Benzyna,156 KM,Automatyczna,Na tylne koła,,,SUV,,5,5,Biały,,Polska,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,1 Marca 2025,,Tak,Tak,,,,,,,,,,
BMW Seria 3 320d,32 999,Firma,Tak,,BMW,Seria 3,320d,E90/E91/E92/E93 (2005-2012),2008,309 000 km,1 995 cm3,Diesel,177 KM,Manualna,Na tylne koła,4.0 l/100km,6 l/100km,Sedan,128 g/km,4,5,Szary,Metalik,Belgia,20 marzec 2009,,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 335i,104 999,Firma,Tak,,BMW,Seria 3,335i,F30/F31 (2012-2020),2012,85 000 km,2 979 cm3,Benzyna,306 KM,Manualna,4x4 (stały),6.0 l/100km,11 l/100km,Sedan,189 g/km,5,5,Błękitny,Perłowy,Kanada,wrzesień 2013,,Tak,,Używane,Wyświetl VIN,,,,,,,,Tak,,,,,,,,,,,
BMW Seria 3,309 900,Firma,Tak,,BMW,Seria 3,,G20/G21 (2019-),2023,6 900 km,1 998 cm3,Hybryda,292 KM,Automatyczna,4x4 (stały),,,Kombi,,5,5,Szary,,Polska,19 maj 2023,,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3,179 900,Firma,Tak,,BMW,Seria 3,,G20/G21 (2019-),2022,28 000 km,1 995 cm3,Diesel,150 KM,Automatyczna,Na tylne koła,,,Sedan,,4,5,Czerwony,Metalik,Polska,30 listopad 2022,,Tak,,Używane,Wyświetl VIN,Tak,,Tak,Tak,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3,33 800,Prywatne,Tak,Tak,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2008,212 889 km,1 995 cm3,Diesel,177 KM,Automatyczna,4x4 (dołączany automatycznie),,,Coupe,,2,,Niebieski,Metalik,Niemcy,11 listopad 2008,DDZ32782,Tak,,Używane,Wyświetl VIN,,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3,25 900,Firma,Tak,,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2008,293 000 km,2 993 cm3,Diesel,197 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Czarny,Perłowy,Niemcy,09 kwiecień 2008,,Tak,Tak,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,,,Tak,,,Tak,,,,,,,,
BMW Seria 3 320d xDrive mHEV M Sport,259 900,Firma,Tak,,BMW,Seria 3,320d xDrive mHEV M Sport,G20/G21 (2019-),2023,10 km,1 995 cm3,Diesel,190 KM,Automatyczna,4x4 (dołączany automatycznie),,,Sedan,,5,,Czerwony,,Polska,,,,,Nowe,Wyświetl VIN,Tak,,Tak,,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 316i,8 900,Prywatne,Tak,Tak,BMW,Seria 3,316i,E46 (1998-2007),2003,201 572 km,1 796 cm3,Benzyna,115 KM,Manualna,Na tylne koła,,10 l/100km,Sedan,,5,,Srebrny,,Niemcy,06 marzec 2003,DW 5XM73,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 320d M Sport,215 000,Firma,Tak,Tak,BMW,Seria 3,320d M Sport,G20/G21 (2019-),2023,1 300 km,1 995 cm3,Diesel,190 KM,Automatyczna,Na tylne koła,,,Sedan,,5,5,Niebieski,Perłowy,Belgia,,S1GWARANT,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 320i,29 900,Firma,Tak,Tak,BMW,Seria 3,320i,E30 (1982-1994),1983,91 796 km,1 991 cm3,Benzyna,125 KM,Manualna,Na tylne koła,,,Coupe,,2,5,Złoty,Metalik,Niemcy,04 luty 1983,REU905,,,Używane,Wyświetl VIN,,,,Tak,,,,,,,,,,,,,,,
BMW Seria 3 318i,233 100,Firma,Tak,,BMW,Seria 3,318i,G20/G21 (2019-),2023,2 km,1 998 cm3,Benzyna,156 KM,Automatyczna,Na tylne koła,,,Sedan,,5,5,Biały,,Polska,,,,,Nowe,Wyświetl VIN,Tak,,,,,,,Tak,Tak,,,,,,,,,,
BMW Seria 3 320d,52 900,Prywatne,Tak,Tak,BMW,Seria 3,320d,F30/F31 (2012-2020),2013,249 000 km,1 995 cm3,Diesel,183 KM,Manualna,Na tylne koła,,5 l/100km,Sedan,,4,5,Biały,,,08 marzec 2013,ESI91848,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,Tak,,,,,,,,
BMW Seria 3 325i Cabriolet,99 333,Firma,Tak,,BMW,Seria 3,325i Cabriolet,E30 (1982-1994),1992,151 333 km,2 494 cm3,Benzyna,192 KM,Manualna,Na tylne koła,,,Kabriolet,,2,4,Niebieski,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 330i xDrive M Sport sport,179 900,Firma,Tak,Tak,BMW,Seria 3,330i xDrive M Sport sport,G20/G21 (2019-),2020,23 500 km,1 998 cm3,Benzyna,258 KM,Automatyczna,4x4 (stały),,,Kombi,,5,5,Biały,Metalik,Dania,04 luty 2021,TK485CC,Tak,,Używane,Wyświetl VIN,,Tak,Tak,,,,,,Tak,,,,,,,,,,
BMW Seria 3 320i Advantage sport,285 300,Firma,Tak,,BMW,Seria 3,320i Advantage sport,G20/G21 (2019-),2023,1 km,1 998 cm3,Benzyna,184 KM,Automatyczna,Na tylne koła,,,Sedan,,5,5,Niebieski,Metalik,,,,,,Nowe,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d,12 999,Prywatne,Tak,Tak,BMW,Seria 3,320d,E90/E91/E92/E93 (2005-2012),2008,216 400 km,1 995 cm3,Diesel,177 KM,Manualna,Na tylne koła,4.0 l/100km,"5,40 l/100km",Kombi,120 g/km,5,5,Szary,Metalik,Niemcy,,,,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 320d,9 000,Prywatne,Tak,Tak,BMW,Seria 3,320d,E46 (1998-2007),2004,308 066 km,1 995 cm3,Diesel,150 KM,Manualna,Na tylne koła,4.0 l/100km,7 l/100km,Kombi,,5,5,Srebrny,,,,,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 316i,7 500,Prywatne,Tak,Tak,BMW,Seria 3,316i,E46 (1998-2007),2003,195 999 km,1 796 cm3,Benzyna,115 KM,Manualna,Na tylne koła,5.0 l/100km,10 l/100km,Sedan,,5,,Srebrny,Metalik,Niemcy,02 maj 2003,GD6C728,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d Efficient Dynamics Luxury Line Purity sport,58 500,Firma,Tak,Tak,BMW,Seria 3,320d Efficient Dynamics Luxury Line Purity sport,F30/F31 (2012-2020),2012,275 107 km,1 995 cm3,Diesel,163 KM,Automatyczna,Na tylne koła,4.0 l/100km,5 l/100km,Sedan,120 g/km,5,5,Czarny,Metalik,Holandia,03 styczeń 2013,94-ZNB-5,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,Tak,,,Tak,,,,,,,,
BMW Seria 3 320d xDrive M Sport Shadow,174 900,Prywatne,Tak,Tak,BMW,Seria 3,320d xDrive M Sport Shadow,G20/G21 (2019-),2019,68 500 km,1 995 cm3,Diesel,190 KM,Automatyczna,4x4 (stały),,,Sedan,133 g/km,4,5,Niebieski,Metalik,Szwecja,kwiecień 2019,TKA34VX,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 320d Touring,29 900,Firma,Tak,Tak,BMW,Seria 3,320d Touring,E90/E91/E92/E93 (2005-2012),2011,268 000 km,1 995 cm3,Diesel,184 KM,Manualna,Na tylne koła,4.0 l/100km,"5,90 l/100km",Kombi,124 g/km,5,5,Szary,Metalik,Niemcy,13 maj 2011,RLA62360,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3,64 900,Firma,Tak,,BMW,Seria 3,,F30/F31 (2012-2020),2014,176 789 km,1 995 cm3,Diesel,218 KM,Automatyczna,Na tylne koła,,4 l/100km,Kombi,,4,5,Biały,,Polska,,,Tak,,Używane,Wyświetl VIN,,,,,,,,Tak,,,Tak,,,,,,,,
BMW Seria 3 320i Sport Line,159 900,Firma,Tak,,BMW,Seria 3,320i Sport Line,G20/G21 (2019-),2022,42 900 km,1 998 cm3,Benzyna,184 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Biały,Perłowy,Polska,08 luty 2022,,Tak,,Używane,Wyświetl VIN,,Tak,,Tak,,10 Lutego 2024,,Tak,Tak,,,,,,,,,,
BMW Seria 3 330i xDrive,75 000,Prywatne,Tak,Tak,BMW,Seria 3,330i xDrive,E90/E91/E92/E93 (2005-2012),2016,246 800 km,1 998 cm3,Benzyna,252 KM,Automatyczna,4x4 (stały),5.0 l/100km,7 l/100km,Sedan,144 g/km,5,5,Granatowy,,Polska,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,,,,,,,,,,
BMW Seria 3 320i xDrive M Sport sport,85 000,Firma,Tak,Tak,BMW,Seria 3,320i xDrive M Sport sport,G20/G21 (2019-),2020,102 000 km,1 998 cm3,Benzyna,184 KM,Automatyczna,4x4 (stały),,,Sedan,,4,5,Biały,Perłowy,Czechy,30 październik 2020,9AK3900,,,Używane,Wyświetl VIN,,Tak,,Tak,,,,,,Tak,,,,,,,,,
BMW Seria 3 318d,19 999,Prywatne,Tak,Tak,BMW,Seria 3,318d,E90/E91/E92/E93 (2005-2012),2010,345 000 km,1 995 cm3,Diesel,143 KM,Manualna,Na tylne koła,3.0 l/100km,5 l/100km,Kombi,119 g/km,5,,Czarny,,,12 maj 2010,PSZ8381A,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 330i M Sport sport,129 000,Prywatne,Tak,Tak,BMW,Seria 3,330i M Sport sport,G20/G21 (2019-),2019,79 000 km,1 998 cm3,Benzyna,258 KM,Automatyczna,Na tylne koła,,,Sedan,,5,5,Biały,Metalik,,20 marzec 2019,WE1K652,Tak,,Używane,Wyświetl VIN,,,,,,19 Marca 2024,,,,,,,,,,,,,
BMW Seria 3,20 999,Prywatne,Tak,Tak,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2012,300 000 km,1 995 cm3,Diesel,143 KM,Manualna,,,,Kombi,,5,,Czarny,,,27 wrzesień 2012,DEL-AK812,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d Touring xDrive Sport Line,65 900,Firma,Tak,Tak,BMW,Seria 3,320d Touring xDrive Sport Line,F30/F31 (2012-2020),2015,221 000 km,1 995 cm3,Diesel,190 KM,Manualna,4x4 (stały),4.3 l/100km,"5,90 l/100km",Kombi,128 g/km,5,5,Czarny,Metalik,Austria,14 grudzień 2015,RLA 61989,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
BMW Seria 3,21 900,Firma,Tak,,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2007,208 511 km,1 995 cm3,Diesel,177 KM,Manualna,Na tylne koła,,,Kombi,,5,5,Czarny,Metalik,Niemcy,,,Tak,,Używane,Wyświetl VIN,,Tak,,,,,,,,,Tak,,,,,,,,
BMW Seria 3 335d Coupe,59 500,Prywatne,Tak,Tak,BMW,Seria 3,335d Coupe,E90/E91/E92/E93 (2005-2012),2008,352 882 km,2 993 cm3,Diesel,286 KM,Automatyczna,Na tylne koła,5.2 l/100km,9 l/100km,Coupe,174 g/km,2,4,Czarny,Metalik,,19 luty 2008,NIL79529,,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,73 000,Prywatne,Tak,Tak,BMW,Seria 3,,F30/F31 (2012-2020),2015,200 000 km,2 979 cm3,Benzyna,306 KM,Automatyczna,Na tylne koła,,"10,70 l/100km",Sedan,,5,5,Czarny,Metalik,Stany Zjednoczone,08 marzec 2015,WZ338FV,Tak,,Używane,Wyświetl VIN,,,,,,1 Stycznia 2030,,,,,,,,,,,,,
BMW Seria 3 320d,49 500,Prywatne,Tak,Tak,BMW,Seria 3,320d,E90/E91/E92/E93 (2005-2012),2009,136 500 km,1 995 cm3,Diesel,177 KM,Manualna,Na tylne koła,4.0 l/100km,6 l/100km,Sedan,130 g/km,5,5,Niebieski,Metalik,Niemcy,,,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
BMW Seria 3 320d M Sport Shadow,99 900,Prywatne,Tak,Tak,BMW,Seria 3,320d M Sport Shadow,F30/F31 (2012-2020),2019,100 000 km,1 995 cm3,Diesel,190 KM,Automatyczna,4x4 (dołączany automatycznie),4.0 l/100km,5 l/100km,Kombi,109 g/km,5,5,Czarny,Metalik,Polska,lipiec 2019,WE735XL,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
BMW Seria 3 320d xDrive MHEV Luxury Line,146 900,Prywatne,Tak,Tak,BMW,Seria 3,320d xDrive MHEV Luxury Line,G20/G21 (2019-),2020,88 000 km,1 995 cm3,Diesel,190 KM,Automatyczna,4x4 (dołączany automatycznie),,,Kombi,,5,5,Szary,Metalik,Polska,,,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
BMW Seria 3 320i Sport-Aut Luxury Line,51 900,Prywatne,Tak,Tak,BMW,Seria 3,320i Sport-Aut Luxury Line,F30/F31 (2012-2020),2012,218 000 km,1 997 cm3,Benzyna,184 KM,Automatyczna,Na tylne koła,4.9 l/100km,"8,20 l/100km",Sedan,142 g/km,4,,Granatowy,Metalik,Holandia,19 październik 2012,WR111XX,Tak,,Używane,Wyświetl VIN,Tak,Tak,,Tak,,,,,,,,,,,,,,,
BMW Seria 3,21 900,Firma,Tak,,BMW,Seria 3,,E90/E91/E92/E93 (2005-2012),2009,236 000 km,2 000 cm3,Benzyna,170 KM,Manualna,Na tylne koła,,,Kombi,,5,5,Złoty,Metalik,,,,Tak,,Używane,Wyświetl VIN,,Tak,,Tak,,,,,,,Tak,,,,,,,,
BMW Seria 3 316i,8 900,Prywatne,Tak,Tak,BMW,Seria 3,316i,E36 (1990-1999),2000,266 000 km,1 895 cm3,Benzyna,105 KM,Manualna,Na tylne koła,5.0 l/100km,,Kompakt,,3,4,Zielony,,,,CTU 7HU3,Tak,,Używane,Wyświetl VIN,,,,,,,,,,,,,,,,,,,
BMW Seria 3,31 900,Prywatne,Tak,Tak,BMW,Seria 3,,E46 (1998-2007),2005,191 187 km,1 995 cm3,Benzyna+LPG,150 KM,Automatyczna,Na tylne koła,,,Kabriolet,203 g/km,4,4,Szary,Metalik,Niemcy,19 maj 2005,SK125RK,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,,,,,,,,,,
