Oferta od,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Kraj pochodzenia,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Tuning,Stan,VIN,Bezwypadkowy,Serwisowany w ASO,Leasing, Pierwszy właściciel (od nowości),Spalanie W Cyklu Mieszanym,Okres gwarancji producenta,lub do (przebieg km),Możliwość finansowania,Faktura VAT,Uszkodzony
Prywatne,Tak,Tak,BMW,Seria 3,320d Sport Line,F30/F31 (2012-2020),2019,169 874 km,1 995 cm3,Diesel,190 KM,Manualna,Na tylne koła,4.0 l/100km,"5,40 l/100km",Kombi,119 g/km,5,5,Czarny,Metalik,Niemcy,06 czerwiec 2019,DSW7106C,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,,,,,,,
Prywatne,Tak,Tak,BMW,Seria 3,330d xDrive,F30/F31 (2012-2020),2013,215 000 km,2 993 cm3,Diesel,258 KM,Automatyczna,4x4 (stały),5.0 l/100km,7 l/100km,Kombi,157 g/km,5,5,Granatowy,Metalik,,18 lipiec 2013,SB653CT,Tak,,Używane,Wyświetl VIN,,,,,,,,,,
Prywatne,Tak,Tak,BMW,Seria 3,,F30/F31 (2012-2020),2013,194 500 km,2 979 cm3,Benzyna,306 KM,Automatyczna,Na tylne koła,,,Sedan,,4,5,Niebieski,Metalik,Niemcy,,,Tak,,Używane,Wyświetl VIN,,Tak,,,,,,,,
Prywatne,Tak,Tak,BMW,Seria 3,320d Touring M Sport,F30/F31 (2012-2020),2017,264 500 km,1 995 cm3,Diesel,190 KM,Automatyczna,Na tylne koła,4.6 l/100km,"5,30 l/100km",Kombi,127 g/km,5,5,Szary,Metalik,Niemcy,19 wrzesień 2017,KPR29HS,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,
Prywatne,Tak,,BMW,Seria 3,318i,E90/E91/E92/E93 (2005-2012),2006,339 000 km,1 995 cm3,Benzyna,129 KM,Manualna,,,10 l/100km,Sedan,,5,5,Czarny,Metalik,,28 lipiec 2006,,,,Używane,Wyświetl VIN,,,,,,,,,,
Prywatne,Tak,Tak,BMW,Seria 3,335d,E90/E91/E92/E93 (2005-2012),2008,271 000 km,2 993 cm3,Diesel,286 KM,Automatyczna,Na tylne koła,5.0 l/100km,9 l/100km,Coupe,174 g/km,2,4,Czarny,Metalik,,20 listopad 2008,tbu16985,Tak,,Używane,Wyświetl VIN,Tak,Tak,,,,,,,,
Prywatne,Tak,Tak,BMW,Seria 3,318d Advantage,F30/F31 (2012-2020),2019,196 000 km,1 995 cm3,Diesel,150 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Czarny,Metalik,Niemcy,03 lipiec 2019,PP7078S,Tak,,Używane,Wyświetl VIN,Tak,,,,,,,,,
Firma,Tak,,BMW,Seria 3,330d mHEV M Sport sport,G20/G21 (2019-),2023,14 040 km,2 993 cm3,Diesel,286 KM,Automatyczna,Na tylne koła,,,Kombi,,5,5,Czarny,Metalik,Niemcy,kwiecień 2023,,Tak,,Używane,Wyświetl VIN,,Tak,,Tak,,,,,,Tak
Firma,Tak,Tak,BMW,Seria 3,318i Advantage,G20/G21 (2019-),2020,50 000 km,1 998 cm3,Benzyna,156 KM,Automatyczna,Na tylne koła,,,Sedan,,4,5,Biały,,Polska,08 kwiecień 2020,WE794YS,Tak,,Używane,Wyświetl VIN,Tak,Tak,Tak,Tak,,,,Tak,Tak,
Prywatne,Tak,Tak,BMW,Seria 3,,E46 (1998-2007),2003,191 000 km,2 494 cm3,Benzyna,192 KM,Automatyczna,,,,Kombi,,5,,Srebrny,,,05 maj 2003,BMW 325 kombi,,,Używane,Wyświetl VIN,,,,,,,,,,
Prywatne,Tak,Tak,BMW,Seria 3,,E36 (1990-1999),1994,144 930 km,1 796 cm3,Benzyna,140 KM,Automatyczna,Na tylne koła,,,Kompakt,,3,5,Srebrny,Metalik,Niemcy,,,Tak,,Używane,Wyświetl VIN,,,,,,,,,,
